"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"При клике на логотип Яндекса открывается новая вкладка с Дзеном","610","Проверка перехода по логотипу Яндекса","tests","2026-04-16","passed","2026-04-16","TestOrder","test_order","",""
"Проверка полного флоу заказа с разными точками входа","1726","Позитивный сценарий заказа самоката","tests","2026-04-16","passed","2026-04-16","TestOrder","test_order","",""
"При клике на стрелку вопроса открывается соответствующий текст ответа","565","Проверка выпадающего текста для вопроса №0","tests","2026-04-16","passed","2026-04-16","TestQuestions","test_questions","",""
"Проверка полного флоу заказа с разными точками входа","1683","Позитивный сценарий заказа самоката","tests","2026-04-16","passed","2026-04-16","TestOrder","test_order","",""
"При клике на стрелку вопроса открывается соответствующий текст ответа","542","Проверка выпадающего текста для вопроса №6","tests","2026-04-16","passed","2026-04-16","TestQuestions","test_questions","",""
"При клике на стрелку вопроса открывается соответствующий текст ответа","544","Проверка выпадающего текста для вопроса №2","tests","2026-04-16","passed","2026-04-16","TestQuestions","test_questions","",""
"При клике на стрелку вопроса открывается соответствующий текст ответа","544","Проверка выпадающего текста для вопроса №1","tests","2026-04-16","passed","2026-04-16","TestQuestions","test_questions","",""
"При клике на стрелку вопроса открывается соответствующий текст ответа","559","Проверка выпадающего текста для вопроса №3","tests","2026-04-16","passed","2026-04-16","TestQuestions","test_questions","",""
"При клике на стрелку вопроса открывается соответствующий текст ответа","548","Проверка выпадающего текста для вопроса №5","tests","2026-04-16","passed","2026-04-16","TestQuestions","test_questions","",""
"При клике на стрелку вопроса открывается соответствующий текст ответа","542","Проверка выпадающего текста для вопроса №7","tests","2026-04-16","passed","2026-04-16","TestQuestions","test_questions","",""
"При клике на логотип Самоката происходит переход на главную страницу","139","Проверка перехода по логотипу Самоката","tests","2026-04-16","passed","2026-04-16","TestOrder","test_order","",""
"При клике на стрелку вопроса открывается соответствующий текст ответа","564","Проверка выпадающего текста для вопроса №4","tests","2026-04-16","passed","2026-04-16","TestQuestions","test_questions","",""
